z,p,limit,cascades,verlauf
1,0.12,7,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.12,8,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
1,0.12,9,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.13,1,254,"[30, 56, 77, 98, 115, 127, 138, 145, 149, 157, 165, 172, 178, 185, 192, 197, 202, 206, 213, 220, 226, 232, 236, 241, 245, 248, 252, 254, 254]"
1,0.13,2,868,"[30, 60, 87, 116, 141, 155, 169, 184, 200, 215, 226, 235, 239, 245, 253, 263, 276, 292, 305, 318, 334, 346, 356, 366, 376, 391, 406, 424, 442, 463, 486, 510, 534, 560, 589, 614, 638, 674, 712, 746, 768, 789, 807, 818, 824, 826, 828, 834, 838, 842, 846, 850, 855, 857, 859, 862, 865, 867, 868, 868]"
1,0.13,3,1400,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 264, 299, 342, 384, 431, 478, 530, 586, 650, 712, 770, 828, 879, 938, 989, 1035, 1087, 1131, 1168, 1191, 1217, 1240, 1269, 1299, 1334, 1358, 1377, 1391, 1395, 1398, 1400, 1400]"
1,0.13,4,779,"[30, 54, 80, 109, 133, 157, 183, 210, 236, 269, 309, 350, 383, 414, 442, 471, 498, 522, 547, 574, 609, 639, 668, 690, 707, 729, 745, 764, 770, 773, 777, 779, 779]"
1,0.13,5,447,"[30, 58, 86, 121, 150, 175, 199, 221, 243, 275, 305, 332, 360, 378, 396, 413, 421, 430, 434, 436, 438, 440, 443, 446, 447, 447]"
1,0.13,6,959,"[30, 60, 87, 117, 142, 157, 171, 186, 202, 217, 228, 237, 241, 247, 255, 265, 278, 294, 307, 322, 338, 351, 362, 372, 382, 397, 412, 430, 448, 470, 494, 520, 545, 573, 608, 638, 668, 710, 758, 803, 831, 861, 885, 899, 906, 910, 915, 924, 929, 933, 937, 941, 946, 948, 950, 953, 956, 958, 959, 959]"
1,0.13,7,1424,"[30, 55, 85, 106, 127, 156, 184, 204, 228, 265, 301, 345, 389, 437, 484, 537, 595, 661, 724, 784, 845, 899, 960, 1011, 1057, 1110, 1155, 1192, 1215, 1241, 1264, 1293, 1323, 1358, 1382, 1401, 1415, 1419, 1422, 1424, 1424]"
