cascade_size
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
0.0008
0.0538
0.0044
0.0362
0.0156
0.0042
0.0021
0.0017
0.0169
0.0223
0.0319
0.0285
0.003
0.0459
0.0457
0.0182
0.0063
