z,p,cutoff,cascades,verlauf
1.5968,0.1,0.001,3161,"[5, 10, 21, 46, 96, 202, 375, 739, 1270, 1912, 2449, 2807, 3006, 3101, 3134, 3148, 3153, 3158, 3161, 3161]"
1.6588,0.11,0.001,3236,"[5, 16, 35, 59, 109, 210, 375, 682, 1187, 1794, 2395, 2819, 3031, 3149, 3211, 3232, 3235, 3236, 3236]"
1.6724,0.12,0.001,3256,"[5, 15, 39, 75, 128, 207, 335, 590, 1014, 1582, 2222, 2713, 2997, 3140, 3208, 3234, 3248, 3256, 3256]"
1.6928,0.13,0.001,3381,"[5, 9, 16, 28, 48, 82, 166, 299, 563, 981, 1558, 2231, 2773, 3081, 3247, 3319, 3356, 3372, 3381, 3381]"
1.6528,0.13999999999999999,0.001,3281,"[5, 14, 30, 63, 117, 191, 332, 553, 929, 1448, 2055, 2546, 2884, 3093, 3184, 3241, 3262, 3275, 3280, 3281, 3281]"
1.6852,0.14999999999999997,0.001,3310,"[5, 16, 33, 64, 108, 171, 288, 450, 738, 1179, 1756, 2342, 2763, 3055, 3182, 3248, 3280, 3297, 3304, 3306, 3307, 3310, 3310]"
1.6116,0.15999999999999998,0.001,3210,"[5, 19, 46, 90, 149, 229, 355, 554, 886, 1356, 1928, 2448, 2835, 3032, 3132, 3177, 3195, 3205, 3207, 3208, 3209, 3210, 3210]"
1.652,0.16999999999999998,0.001,3277,"[5, 12, 16, 21, 28, 41, 55, 76, 103, 144, 203, 292, 415, 605, 889, 1300, 1753, 2271, 2676, 2965, 3124, 3214, 3256, 3268, 3271, 3272, 3274, 3276, 3277, 3277]"
1.6908,0.17999999999999997,0.001,3280,"[5, 12, 22, 42, 82, 140, 226, 350, 507, 737, 1038, 1485, 2048, 2586, 2914, 3107, 3206, 3247, 3265, 3273, 3275, 3278, 3279, 3280, 3280]"
1.6748,0.18999999999999995,0.001,3219,"[5, 10, 18, 32, 54, 90, 141, 199, 275, 412, 627, 965, 1384, 1910, 2453, 2844, 3057, 3147, 3196, 3211, 3216, 3218, 3219, 3219]"
1.7376,0.19999999999999996,0.001,3365,"[5, 9, 17, 31, 57, 87, 126, 180, 253, 352, 491, 733, 1138, 1680, 2238, 2684, 2988, 3172, 3278, 3324, 3342, 3353, 3357, 3362, 3364, 3365, 3365]"
1.624,0.20999999999999996,0.001,3162,"[5, 7, 10, 14, 18, 22, 28, 37, 48, 63, 74, 83, 100, 120, 140, 161, 195, 243, 307, 379, 477, 614, 789, 1002, 1274, 1594, 1953, 2309, 2616, 2828, 2967, 3057, 3105, 3137, 3145, 3153, 3157, 3160, 3161, 3162, 3162]"
1.6656,0.21999999999999995,0.001,3226,"[5, 15, 24, 35, 45, 54, 66, 81, 97, 111, 124, 139, 161, 186, 215, 248, 278, 321, 366, 414, 473, 557, 658, 788, 974, 1233, 1569, 1973, 2434, 2793, 3005, 3112, 3169, 3198, 3213, 3222, 3225, 3226, 3226]"
1.6552,0.22999999999999995,0.001,17,"[5, 9, 11, 12, 13, 15, 16, 17, 17]"
1.6252,0.23999999999999994,0.001,3173,"[5, 10, 15, 21, 25, 31, 39, 46, 53, 63, 78, 88, 101, 116, 133, 157, 192, 241, 305, 371, 450, 552, 672, 825, 1001, 1209, 1479, 1785, 2173, 2535, 2813, 2984, 3073, 3123, 3147, 3163, 3171, 3173, 3173]"
1.7028,0.24999999999999992,0.001,3291,"[5, 12, 16, 22, 25, 27, 28, 30, 33, 36, 39, 44, 48, 51, 56, 63, 72, 81, 94, 112, 140, 170, 207, 246, 294, 351, 422, 495, 573, 696, 876, 1104, 1387, 1764, 2192, 2569, 2830, 3019, 3149, 3216, 3249, 3266, 3275, 3285, 3289, 3291, 3291]"
2.1752,0.1,0.002,3932,"[5, 13, 26, 54, 122, 266, 619, 1450, 2532, 3362, 3749, 3882, 3917, 3928, 3930, 3932, 3932]"
2.2908,0.11,0.002,3941,"[5, 14, 39, 91, 235, 588, 1400, 2640, 3457, 3792, 3902, 3932, 3940, 3941, 3941]"
2.1492,0.12,0.002,3813,"[5, 16, 41, 97, 250, 534, 1086, 2038, 2981, 3520, 3721, 3791, 3807, 3812, 3813, 3813]"
2.2228,0.13,0.002,3908,"[5, 21, 49, 102, 235, 542, 1150, 2224, 3214, 3688, 3840, 3893, 3903, 3906, 3908, 3908]"
2.172,0.13999999999999999,0.002,3894,"[5, 10, 18, 32, 63, 117, 242, 514, 1060, 2003, 3013, 3610, 3800, 3862, 3885, 3892, 3894, 3894]"
2.1504,0.14999999999999997,0.002,3823,"[5, 10, 21, 39, 72, 133, 261, 502, 987, 1845, 2794, 3424, 3682, 3774, 3806, 3819, 3823, 3823]"
2.268,0.15999999999999998,0.002,4004,"[5, 13, 23, 41, 62, 95, 155, 282, 572, 1205, 2320, 3235, 3763, 3931, 3979, 3997, 4003, 4004, 4004]"
2.1752,0.16999999999999998,0.002,3932,"[5, 13, 24, 37, 55, 82, 116, 164, 247, 393, 655, 1162, 2006, 2954, 3550, 3801, 3888, 3917, 3930, 3932, 3932]"
2.2908,0.17999999999999997,0.002,3941,"[5, 12, 23, 35, 53, 79, 123, 183, 303, 513, 872, 1560, 2670, 3499, 3808, 3908, 3932, 3937, 3940, 3941, 3941]"
2.1492,0.18999999999999995,0.002,3813,"[5, 15, 31, 56, 95, 158, 231, 336, 518, 855, 1499, 2415, 3234, 3611, 3756, 3795, 3806, 3813, 3813]"
2.2228,0.19999999999999996,0.002,3908,"[5, 19, 34, 55, 85, 126, 203, 339, 545, 908, 1601, 2608, 3356, 3710, 3844, 3889, 3903, 3908, 3908]"
2.172,0.20999999999999996,0.002,28,"[5, 9, 12, 15, 17, 22, 25, 28, 28]"
2.1504,0.21999999999999995,0.002,135,"[5, 9, 15, 22, 32, 41, 48, 57, 69, 80, 85, 94, 105, 110, 117, 123, 129, 131, 133, 134, 135, 135]"
2.268,0.22999999999999995,0.002,4004,"[5, 12, 16, 23, 27, 29, 32, 35, 43, 54, 63, 69, 74, 81, 89, 97, 102, 109, 114, 124, 140, 155, 172, 194, 221, 254, 296, 355, 428, 527, 663, 891, 1269, 1960, 2846, 3507, 3837, 3957, 3994, 4003, 4004, 4004]"
2.1752,0.23999999999999994,0.002,3926,"[5, 12, 21, 31, 43, 59, 70, 80, 90, 107, 124, 139, 153, 170, 192, 210, 241, 275, 321, 369, 423, 508, 615, 768, 1025, 1433, 2076, 2890, 3490, 3761, 3862, 3904, 3920, 3924, 3925, 3926, 3926]"
2.2908,0.24999999999999992,0.002,3941,"[5, 11, 19, 23, 30, 40, 48, 56, 66, 73, 82, 89, 98, 106, 115, 132, 145, 158, 169, 177, 188, 202, 222, 237, 258, 277, 291, 301, 315, 337, 367, 409, 450, 506, 578, 678, 813, 1015, 1421, 2139, 3012, 3587, 3820, 3902, 3929, 3936, 3939, 3941, 3941]"
2.5448,0.1,0.003,4079,"[5, 18, 48, 117, 319, 790, 1848, 3165, 3830, 4025, 4063, 4076, 4079, 4079]"
2.6728,0.11,0.003,4199,"[5, 26, 61, 151, 427, 1169, 2630, 3698, 4057, 4168, 4195, 4199, 4199]"
2.5964,0.12,0.003,4156,"[5, 10, 18, 34, 76, 165, 395, 1017, 2269, 3494, 3998, 4129, 4152, 4153, 4155, 4156, 4156]"
2.5388,0.13,0.003,4110,"[5, 12, 26, 56, 103, 220, 498, 1195, 2517, 3549, 3961, 4066, 4098, 4110, 4110]"
2.7236,0.13999999999999999,0.003,4249,"[5, 15, 31, 65, 121, 248, 542, 1308, 2757, 3803, 4151, 4226, 4245, 4248, 4249, 4249]"
2.5716,0.14999999999999997,0.003,4159,"[5, 13, 24, 44, 78, 136, 248, 502, 982, 2170, 3408, 3991, 4117, 4143, 4151, 4157, 4159, 4159]"
2.7196,0.15999999999999998,0.003,4175,"[5, 13, 32, 68, 142, 278, 588, 1390, 2839, 3798, 4085, 4157, 4172, 4175, 4175]"
2.5448,0.16999999999999998,0.003,4079,"[5, 16, 30, 49, 75, 115, 167, 234, 358, 653, 1349, 2507, 3529, 3946, 4043, 4067, 4077, 4079, 4079]"
2.6728,0.17999999999999997,0.003,4199,"[5, 24, 42, 67, 103, 161, 273, 473, 853, 1685, 3020, 3850, 4115, 4176, 4195, 4199, 4199]"
2.5964,0.18999999999999995,0.003,4156,"[5, 10, 17, 23, 32, 46, 64, 91, 126, 185, 279, 442, 711, 1347, 2634, 3696, 4049, 4140, 4153, 4155, 4156, 4156]"
