z,p,cascades,verlauf
2,0.20999999999999996,7911,"[30, 78, 146, 233, 349, 501, 714, 1021, 1449, 2031, 2801, 3813, 4967, 6041, 6890, 7401, 7688, 7814, 7874, 7893, 7905, 7911, 7911]"
2,0.21999999999999995,8010,"[30, 78, 157, 270, 409, 597, 870, 1271, 1813, 2563, 3544, 4655, 5752, 6662, 7296, 7657, 7837, 7920, 7968, 7985, 7995, 8003, 8009, 8010, 8010]"
2,0.22999999999999995,8015,"[30, 78, 144, 238, 347, 513, 736, 1040, 1444, 2002, 2756, 3728, 4846, 5938, 6775, 7331, 7669, 7834, 7924, 7974, 8000, 8009, 8012, 8014, 8015, 8015]"
2,0.23999999999999994,8009,"[30, 84, 163, 272, 417, 629, 911, 1296, 1856, 2616, 3554, 4706, 5897, 6836, 7434, 7751, 7892, 7950, 7978, 7995, 8004, 8008, 8009, 8009]"
2,0.24999999999999992,7911,"[30, 78, 146, 233, 349, 501, 714, 1020, 1443, 2019, 2783, 3784, 4928, 6003, 6872, 7392, 7683, 7812, 7874, 7893, 7905, 7911, 7911]"
3,0.1,9403,"[30, 123, 410, 1245, 3191, 6244, 8503, 9239, 9377, 9401, 9403, 9403]"
3,0.11,9439,"[30, 101, 319, 925, 2428, 5168, 7895, 9069, 9362, 9420, 9436, 9439, 9439]"
3,0.12,9422,"[30, 121, 382, 1086, 2760, 5647, 8143, 9137, 9376, 9418, 9422, 9422]"
3,0.13,9480,"[30, 109, 341, 929, 2311, 4901, 7712, 9079, 9417, 9473, 9480, 9480]"
3,0.13999999999999999,9403,"[30, 119, 373, 1087, 2776, 5670, 8222, 9163, 9362, 9398, 9403, 9403]"
3,0.14999999999999997,9439,"[30, 94, 246, 595, 1455, 3321, 6198, 8413, 9213, 9397, 9431, 9439, 9439]"
3,0.15999999999999998,9422,"[30, 113, 316, 812, 1976, 4301, 7187, 8844, 9312, 9408, 9420, 9422, 9422]"
3,0.16999999999999998,9480,"[30, 91, 211, 448, 923, 1845, 3665, 6339, 8480, 9266, 9446, 9476, 9480, 9480]"
3,0.17999999999999997,9403,"[30, 104, 251, 550, 1186, 2477, 4795, 7514, 8949, 9318, 9389, 9401, 9403, 9403]"
3,0.18999999999999995,9439,"[30, 85, 188, 377, 763, 1588, 3241, 5913, 8265, 9173, 9387, 9426, 9436, 9439, 9439]"
3,0.19999999999999996,9422,"[30, 100, 225, 468, 955, 1950, 3842, 6497, 8522, 9226, 9380, 9416, 9422, 9422]"
3,0.20999999999999996,9480,"[30, 77, 142, 238, 390, 604, 917, 1396, 2218, 3575, 5721, 7916, 9080, 9401, 9468, 9478, 9480, 9480]"
3,0.21999999999999995,9403,"[30, 83, 150, 253, 389, 597, 885, 1321, 2028, 3282, 5366, 7658, 8942, 9306, 9383, 9401, 9403, 9403]"
3,0.22999999999999995,9439,"[30, 74, 131, 204, 303, 439, 637, 896, 1329, 2035, 3248, 5266, 7588, 8900, 9322, 9419, 9437, 9439, 9439]"
3,0.23999999999999994,9422,"[30, 90, 169, 270, 391, 555, 774, 1102, 1624, 2479, 3980, 6253, 8250, 9154, 9375, 9418, 9421, 9422, 9422]"
3,0.24999999999999992,9480,"[30, 77, 142, 238, 389, 598, 907, 1375, 2154, 3416, 5460, 7746, 9005, 9381, 9462, 9478, 9480, 9480]"
4,0.1,9777,"[30, 147, 595, 2138, 5727, 8965, 9710, 9770, 9777, 9777]"
4,0.11,9818,"[30, 123, 481, 1760, 5070, 8696, 9704, 9811, 9818, 9818]"
4,0.12,9774,"[30, 138, 518, 1768, 4988, 8639, 9663, 9769, 9774, 9774]"
4,0.13,9833,"[30, 125, 454, 1434, 4070, 7952, 9623, 9818, 9830, 9833, 9833]"
4,0.13999999999999999,9777,"[30, 134, 460, 1457, 4155, 8024, 9583, 9759, 9775, 9777, 9777]"
4,0.14999999999999997,9818,"[30, 101, 279, 752, 2042, 5058, 8603, 9708, 9810, 9818, 9818]"
4,0.15999999999999998,9774,"[30, 118, 339, 922, 2530, 5970, 8968, 9719, 9770, 9774, 9774]"
4,0.16999999999999998,9833,"[30, 84, 188, 391, 801, 1710, 3838, 7419, 9504, 9814, 9830, 9833, 9833]"
4,0.17999999999999997,9777,"[30, 106, 253, 550, 1183, 2701, 5812, 8886, 9691, 9770, 9777, 9777]"
4,0.18999999999999995,9818,"[30, 89, 201, 415, 855, 1830, 4169, 7863, 9575, 9799, 9816, 9818, 9818]"
4,0.19999999999999996,9774,"[30, 100, 227, 451, 923, 1999, 4481, 8078, 9583, 9764, 9773, 9774, 9774]"
4,0.20999999999999996,9833,"[30, 64, 94, 129, 160, 203, 246, 294, 351, 418, 495, 592, 722, 922, 1215, 1708, 2806, 5202, 8334, 9652, 9817, 9833, 9833]"
4,0.21999999999999995,9777,"[30, 73, 108, 143, 183, 218, 251, 294, 345, 411, 502, 630, 814, 1111, 1672, 2848, 5399, 8532, 9633, 9770, 9777, 9777]"
4,0.22999999999999995,9818,"[30, 68, 108, 148, 187, 220, 241, 267, 284, 300, 311, 320, 331, 342, 351, 361, 375, 399, 435, 479, 530, 589, 656, 739, 874, 1077, 1375, 1927, 3128, 5774, 8770, 9703, 9805, 9817, 9818, 9818]"
4,0.23999999999999994,9774,"[30, 79, 141, 207, 282, 380, 491, 630, 816, 1088, 1510, 2301, 4006, 7127, 9315, 9732, 9770, 9774, 9774]"
4,0.24999999999999992,9833,"[30, 64, 94, 129, 159, 199, 240, 285, 335, 393, 461, 549, 666, 834, 1059, 1392, 2019, 3389, 6132, 8883, 9736, 9830, 9833, 9833]"
5,0.1,9922,"[30, 162, 727, 2899, 7624, 9778, 9917, 9922, 9922]"
5,0.11,9944,"[30, 141, 630, 2568, 7168, 9712, 9937, 9943, 9944, 9944]"
5,0.12,9916,"[30, 150, 584, 2209, 6448, 9597, 9910, 9916, 9916]"
5,0.13,9941,"[30, 132, 478, 1611, 5005, 9165, 9915, 9940, 9941, 9941]"
5,0.13999999999999999,9922,"[30, 140, 500, 1723, 5318, 9256, 9890, 9922, 9922]"
5,0.14999999999999997,9944,"[30, 103, 280, 740, 2087, 5792, 9400, 9926, 9944, 9944]"
5,0.15999999999999998,9916,"[30, 124, 348, 922, 2702, 6872, 9678, 9908, 9916, 9916]"
5,0.16999999999999998,9941,"[30, 83, 171, 304, 533, 966, 2034, 5084, 9058, 9898, 9940, 9941, 9941]"
5,0.17999999999999997,9922,"[30, 86, 168, 286, 486, 873, 1791, 4376, 8568, 9836, 9920, 9922, 9922]"
5,0.18999999999999995,9944,"[30, 85, 174, 296, 502, 871, 1743, 4285, 8530, 9860, 9942, 9944, 9944]"
5,0.19999999999999996,9916,"[30, 97, 195, 330, 551, 1010, 2092, 5132, 9067, 9874, 9915, 9916, 9916]"
5,0.20999999999999996,128,"[30, 56, 79, 88, 101, 112, 119, 122, 124, 126, 127, 128, 128]"
5,0.21999999999999995,144,"[30, 61, 85, 99, 111, 118, 125, 135, 138, 140, 141, 142, 143, 144, 144]"
5,0.22999999999999995,115,"[30, 59, 79, 89, 99, 107, 112, 113, 114, 115, 115]"
5,0.23999999999999994,202,"[30, 69, 98, 124, 148, 169, 183, 189, 195, 199, 201, 202, 202]"
5,0.24999999999999992,128,"[30, 56, 79, 88, 101, 112, 119, 122, 124, 126, 127, 128, 128]"
6,0.1,9970,"[30, 176, 839, 3648, 8825, 9945, 9969, 9970, 9970]"
6,0.11,9979,"[30, 145, 672, 2971, 8239, 9924, 9979, 9979]"
6,0.12,9970,"[30, 159, 647, 2599, 7696, 9907, 9969, 9970, 9970]"
6,0.13,9979,"[30, 128, 433, 1465, 5108, 9497, 9970, 9978, 9979, 9979]"
6,0.13999999999999999,9970,"[30, 138, 441, 1504, 5246, 9518, 9958, 9970, 9970]"
6,0.14999999999999997,9979,"[30, 90, 206, 451, 1127, 3570, 8567, 9944, 9979, 9979]"
6,0.15999999999999998,9970,"[30, 114, 279, 653, 1827, 5684, 9634, 9967, 9970, 9970]"
6,0.16999999999999998,9979,"[30, 69, 114, 148, 187, 216, 252, 301, 384, 510, 718, 1264, 3219, 8076, 9914, 9979, 9979]"
6,0.17999999999999997,9970,"[30, 74, 115, 158, 197, 237, 301, 409, 594, 1001, 2274, 6347, 9710, 9964, 9970, 9970]"
6,0.18999999999999995,9979,"[30, 68, 104, 133, 161, 194, 230, 278, 346, 428, 544, 750, 1266, 2949, 7540, 9887, 9978, 9979, 9979]"
6,0.19999999999999996,9970,"[30, 87, 148, 212, 294, 418, 607, 967, 1939, 5248, 9453, 9960, 9970, 9970]"
6,0.20999999999999996,61,"[30, 51, 60, 61, 61]"
6,0.21999999999999995,78,"[30, 55, 67, 72, 74, 75, 76, 78, 78]"
6,0.22999999999999995,59,"[30, 47, 53, 56, 58, 59, 59]"
6,0.23999999999999994,65,"[30, 57, 64, 65, 65]"
